Case,InputID,Source,Onset,Duration,MarginMPH,NormalMarginMPH,Violation,GearPass,HeldSamples,FirstReachSeconds,BeforeFaultError,SimulationSeconds
S07,I027,corner,15,0.2,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.478586666666667
S08,I027,corner,15,0.5,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.503751875
S09,I027,corner,15,1,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.479358875
B00,I028,corner,0,0,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.455022291666667
S01,I028,corner,5,0.2,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.475690083333333
S02,I028,corner,5,0.5,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.4640035
S03,I028,corner,5,1,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.468359083333333
S04,I028,corner,10,0.2,10.7578006928256,10.6599293392629,0,1,12,16.24,0,0.472852041666667
S05,I028,corner,10,0.5,11.0020490095008,10.6599293392629,0,1,42,16.15,0,0.4826495
S06,I028,corner,10,1,11.4007879468328,10.6599293392629,0,1,92,16,0,0.463798166666667
S07,I028,corner,15,0.2,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.479320375
S08,I028,corner,15,0.5,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.473262208333333
S09,I028,corner,15,1,10.6599293392629,10.6599293392629,0,1,0,16.28,0,0.465358458333333
B00,I029,corner,0,0,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.5376945
S01,I029,corner,5,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.601663208333333
S02,I029,corner,5,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.611448541666667
S03,I029,corner,5,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.586562333333333
S04,I029,corner,10,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.594481541666667
S05,I029,corner,10,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.630433916666667
S06,I029,corner,10,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.6448045
S07,I029,corner,15,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.558092583333333
S08,I029,corner,15,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.598989166666667
S09,I029,corner,15,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.587446958333333
B00,I030,corner,0,0,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.602226875
S01,I030,corner,5,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.586672583333333
S02,I030,corner,5,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.637659708333333
S03,I030,corner,5,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.591438458333333
S04,I030,corner,10,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.470894625
S05,I030,corner,10,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.735453375
S06,I030,corner,10,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.701368708333333
S07,I030,corner,15,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.712248458333333
S08,I030,corner,15,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.611850875
S09,I030,corner,15,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.561716583333333
B00,I031,corner,0,0,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.718121166666667
S01,I031,corner,5,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.593229291666667
S02,I031,corner,5,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.668984625
S03,I031,corner,5,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.587914333333333
S04,I031,corner,10,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.686198708333333
S05,I031,corner,10,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.723573458333333
S06,I031,corner,10,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.690750291666667
S07,I031,corner,15,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.646538083333333
S08,I031,corner,15,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.608761666666667
S09,I031,corner,15,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.624809541666667
B00,I032,corner,0,0,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.580946833333333
S01,I032,corner,5,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.622770708333333
S02,I032,corner,5,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.585923291666667
S03,I032,corner,5,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.830470958333333
S04,I032,corner,10,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.637781791666667
S05,I032,corner,10,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.656862
S06,I032,corner,10,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.60330175
S07,I032,corner,15,0.2,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.67565
S08,I032,corner,15,0.5,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.636333458333333
S09,I032,corner,15,1,15.3752138782915,15.3752138782915,0,1,0,13.4,0,0.622904458333333
B00,I033,corner,0,0,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.767046541666667
S01,I033,corner,5,0.2,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.65119425
S02,I033,corner,5,0.5,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.616556083333333
S03,I033,corner,5,1,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.588563
S04,I033,corner,10,0.2,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.670926875
S05,I033,corner,10,0.5,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.560905916666667
S06,I033,corner,10,1,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.656687375
S07,I033,corner,15,0.2,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.586352166666667
S08,I033,corner,15,0.5,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.673964833333333
S09,I033,corner,15,1,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.586141458333333
B00,I034,corner,0,0,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.543954583333333
S01,I034,corner,5,0.2,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.60124075
S02,I034,corner,5,0.5,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.594567375
S03,I034,corner,5,1,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.596177583333333
S04,I034,corner,10,0.2,19.7865914794781,19.7865914794781,0,1,0,13.4,0,0.59388325
